date,index,expiry,spot_at_entry,atm,sell_ce_K,sell_ce_entry,sell_ce_exit,sell_pe_K,sell_pe_entry,sell_pe_exit,buy_ce_K,buy_ce_entry,buy_ce_exit,buy_pe_K,buy_pe_entry,buy_pe_exit,lots,lot_size,sl_count,reentry_count,gross_pnl,brokerage,stt,txn,sebi,stamp,gst,total_charges,n_orders,net_pnl,max_loss_total,margin_est
2026-06-17,NIFTY,23-06-2026,24067.9,24050,24300,71.55,65.1,23800,72.55,52.85,24500,31.6,27.65,23600,34.8,22.95,1,75,0,0,776.25,160,9.13,15.07,0.0284,0.41,31.52,216.15,8,560.1,15000,22500.0
2026-06-17,SENSEX,18-06-2026,77087.4,77100,77600,122.1,89.8,76600,134.25,57.2,78000,51.3,30.4,76200,61.6,20.6,1,20,0,0,949.0,160,3.84,3.69,0.0113,0.16,29.47,197.16,8,751.84,8000,12000.0
2026-06-18,NIFTY,23-06-2026,24126.85,24150,24400,35.15,32.9,23900,51.2,30.65,24600,13.1,11.2,23700,19.4,11.6,1,75,1,1,-361.5,200,7.52,12.94,0.0244,0.37,38.33,259.19,10,-620.69,15000,22500.0
2026-06-18,SENSEX,18-06-2026,77248.4,77200,77700,27.5,0.4,76700,18.15,0.4,78100,6.2,0.25,76300,5.5,0.3,1,20,1,1,546.95,200,0.8,0.66,0.002,0.02,36.12,237.61,10,309.34,8000,12000.0
2026-06-19,NIFTY,23-06-2026,23987.25,24000,24250,37.55,31.15,23750,37.65,19.5,24450,13.2,10.1,23550,12.7,6.3,1,75,1,1,140.44,200,6.06,10.2,0.0192,0.29,37.84,254.41,10,-113.97,15000,22500.0
2026-06-22,NIFTY,23-06-2026,24141.5,24150,24400,9.55,5.6,23900,14.05,9.85,24600,2.85,2.1,23700,4.1,3.05,1,75,0,0,476.25,160,1.35,2.03,0.0038,0.05,29.17,192.6,8,283.65,15000,22500.0
2026-06-23,NIFTY,23-06-2026,24131.25,24150,24400,1.2,0.15,23900,2.05,68.35,24600,0.6,0.1,23700,1.05,0.35,1,75,4,3,-159.56,280,0.34,0.66,0.0013,0.02,50.52,331.55,14,-491.11,15000,22500.0
2026-06-29,SENSEX,02-07-2026,77063.24,77100,77600,248.8,155.35,76600,244.8,371.3,78000,139.8,85.85,76200,147.45,224.35,1,20,1,0,614.4,160,10.05,10.25,0.0315,0.46,30.65,211.44,8,402.96,8000,12000.0
2026-06-30,SENSEX,02-07-2026,76554.48,76600,77100,215.15,150.9,76100,216.15,162.15,77500,122.1,79.2,75700,116.5,67.6,1,20,1,1,-977.05,200,9.92,10.63,0.0327,0.51,37.92,259.0,10,-1236.05,8000,12000.0
2026-07-01,NIFTY,07-07-2026,23981.15,24000,24250,64.6,60.95,23750,65.15,50.25,24450,25.95,22.15,23550,29.4,21.4,1,75,0,0,506.25,160,8.12,13.51,0.0255,0.37,31.24,213.27,8,292.98,15000,22500.0
2026-07-01,SENSEX,02-07-2026,76844.61,76800,77300,136.4,109.6,76300,111.85,48.95,77700,55.45,32.7,75900,50.1,18.9,1,20,3,3,-2149.4,280,8.86,9.92,0.0305,0.49,52.19,351.49,14,-2500.89,8000,12000.0
2026-07-03,NIFTY,07-07-2026,24335.3,24350,24600,17.9,8.7,24100,30.0,31.7,24800,4.6,3.2,23900,12.0,10.35,1,75,1,1,-453.75,200,4.29,7.51,0.0142,0.22,37.35,249.39,10,-703.14,15000,22500.0
2026-07-03,SENSEX,09-07-2026,77974.32,78000,78500,263.9,172.45,77500,241.05,289.1,78900,151.0,94.2,77100,146.35,171.9,1,20,1,0,-483.35,160,9.64,10.18,0.0313,0.48,30.64,210.97,8,-694.32,8000,12000.0
2026-07-09,NIFTY,14-07-2026,24044.7,24050,24300,49.1,29.6,23800,62.5,73.15,24500,19.05,11.2,23600,29.5,31.8,1,75,1,1,-1041.38,200,9.55,16.75,0.0316,0.49,39.02,265.84,10,-1307.22,15000,22500.0
2026-07-09,SENSEX,09-07-2026,77041.59,77000,77500,32.75,0.7,76500,41.8,3.0,77900,9.65,0.9,76100,16.25,1.05,1,20,4,4,-105.7,320,2.82,2.97,0.0091,0.14,58.14,384.07,16,-489.77,8000,12000.0
2026-07-10,NIFTY,14-07-2026,24217.95,24200,24450,30.35,19.6,23950,35.55,29.1,24650,7.55,5.3,23750,14.65,11.9,1,75,0,0,915.0,160,3.9,6.12,0.0115,0.16,29.9,200.09,8,714.91,15000,22500.0
2026-07-10,SENSEX,16-07-2026,77556.9,77600,78100,295.95,231.4,77100,312.95,285.85,78500,177.25,131.75,76700,207.95,184.4,1,20,0,0,452.0,160,11.56,11.88,0.0365,0.54,30.94,214.96,8,237.04,8000,12000.0
2026-07-13,NIFTY,14-07-2026,24121.05,24100,24350,17.6,28.65,23850,23.25,10.85,24550,4.65,4.95,23650,7.9,4.7,1,75,3,2,-673.5,240,4.02,7.17,0.0135,0.21,44.49,295.91,12,-969.41,15000,22500.0
2026-07-13,SENSEX,16-07-2026,77283.26,77300,77800,238.4,383.6,76800,292.5,185.85,78200,132.95,217.9,76400,187.5,122.2,1,20,1,0,857.2,160,10.89,11.04,0.034,0.5,30.79,213.26,8,643.94,8000,12000.0
